"id","long","lat","winter.duration","ID","cells","NA_dem","NA_northing","NA_nFrostyDays","NA_nonGrowingDays","NA_nDaysFreeze","NA_frostFreeze","NA_OG1k"
"L1",-99.19,53.12,242,1,23178554,220.133590698242,53.1208343505859,217,310.973541259766,72.9755630493164,144.987777709961,153.685104370117
"L2",-97.38,51.44,244,2,26094843,217.684036254883,51.4375,228.442337036133,313.296051025391,72.8539962768555,150.648162841797,146.009246826172
"L3",-99.19,53.12,242,3,23178554,220.133590698242,53.1208343505859,217,310.973541259766,72.9755630493164,144.987777709961,153.685104370117
"L4",-112.202,59.752,242,4,11685936,259.784729003906,59.7541656494141,227,323.775726318359,94.1620712280273,160.581039428711,180.738265991211
"L5",-110.67,44.93,177,5,37367764,2229.63012695312,44.9291648864746,242.455718994141,327.101013183594,40.9869728088379,141.721343994141,144.733749389648
"L6",-92.29,38.83,83,6,47937122,223.032531738281,38.8291664123535,145,239.834671020508,7.21772909164429,76.1088638305664,50.4108619689941
"L7",-83.66,36.61,118,7,51778133,724.122009277344,36.6124992370605,143,248.185165405273,4.23378610610962,73.6168899536133,30.8209743499756
"id_3",-130.338718500933,54.3046001046064,229,8,21124904,40.2516555786133,54.3041648864746,87.7373886108398,313.648040771484,5.89752149581909,46.817455291748,66.1740264892578
"id_7",-129.102313722581,55.207733785112,192,9,19565964,61.9896507263184,55.2041664123535,141.808624267578,305.538330078125,14.9331016540527,78.3708648681641,137.82243347168
"id_9",-128.522907881762,54.4112594821269,218,10,20937454,116.612350463867,54.4124984741211,132.798248291016,306.933563232422,13.3993320465088,73.0987930297852,122.189727783203
"id_16",-119.517884814548,49.0951536503541,142,11,30148702,448.999237060547,49.095832824707,123.925834655762,278.795715332031,11.3918361663818,67.6588363647461,116.373001098633
"id_18",-119.517884814548,49.0951536503541,168,12,30148702,448.999237060547,49.095832824707,123.925834655762,278.795715332031,11.3918361663818,67.6588363647461,116.373001098633
"id_20",-119.544494526647,49.2998361529767,183,13,29802235,395.992828369141,49.2958335876465,116.815765380859,278.897064208984,10.6230640411377,63.7194137573242,124.284599304199
"id_21",-122.291170403244,51.5236993528733,203,14,25947494,433.8232421875,51.5208320617676,171.277893066406,295.608032226562,22.9396781921387,97.1087875366211,150.869674682617
"id_23",-126.104037704194,59.4332629391505,237,15,12247272,648.830383300781,59.4291648864746,231.845840454102,326.962615966797,76.4914855957031,154.168670654297,198.710922241211
"id_26",-122.300036321496,51.5038805817945,203,16,25976364,382.789886474609,51.5041656494141,169.519195556641,294.222137451172,22.3456840515137,95.9324417114258,150.354507446289
"id_28",-133.704238148247,59.5674182967362,245,17,12000948,696.714233398438,59.5708351135254,221.751419067383,333.725738525391,52.8489646911621,137.300186157227,192.629867553711
"id_29",-133.581154404776,59.4061315133673,259,18,12289683,751.94677734375,59.404167175293,229.696792602539,336.694000244141,56.1312675476074,142.914031982422,187.695205688477
"id_30",-124.591573306808,53.8794474448416,205,19,21861830,679.455993652344,53.8791656494141,214,322.343231201172,36.3712196350098,125.185607910156,160.68913269043
"id_35",-124.721361549739,51.747104104179,209,20,25557430,936.260009765625,51.7458343505859,224.638565063477,324.118499755859,32.375,128.506774902344,117.849403381348
"id_42",-119.49267,49.01159,177,21,30293065,520.220581054688,49.0125007629395,135.113372802734,282.952178955078,12.8462934494019,73.9798355102539,113.220199584961
"id_52",-126.649205890586,49.9108028206618,134,22,28733119,13.7306699752808,49.9124984741211,61.2100601196289,293.701110839844,3.60103821754456,32.4055480957031,11.5277290344238
"id_57",-129.3941,54.29618,198,23,21139453,74.2046203613281,54.2958335876465,125.086463928223,306.491516113281,11.4989862442017,68.292724609375,91.5321578979492
"id_62",-131.79941,54.07445,162,24,21528937,28.5616416931152,54.0708351135254,73.9050445556641,315.186950683594,4.85103416442871,39.3780403137207,27.2722492218018
"id_64",-129.47214,55.06196,191,25,19811332,6.36818599700928,55.0625,133.307525634766,312.057189941406,13.0076322555542,73.1575775146484,121.434394836426
"id_76",-116.93802,50.18683,168,26,28257896,646.576354980469,50.1875,148.610260009766,301.664215087891,15.7896842956543,82.1999740600586,157.318130493164
"id_82",-117.4496,49.49352,79,27,29456023,882.633728027344,49.4958343505859,152.088836669922,299.56884765625,15.810263633728,83.9495468139648,144.418807983398
"id_83",-117.4496,49.49352,81,28,29456023,882.633728027344,49.4958343505859,152.088836669922,299.56884765625,15.810263633728,83.9495468139648,144.418807983398
"id_84",-117.4496,49.49352,109,29,29456023,882.633728027344,49.4958343505859,152.088836669922,299.56884765625,15.810263633728,83.9495468139648,144.418807983398
"id_86",-117.35441,49.0239,146,30,30278886,798.918090820312,49.0208320617676,164.134552001953,298.974914550781,16.9120063781738,90.5232772827148,131.139541625977
"id_88",-117.35441,49.0239,139,31,30278886,798.918090820312,49.0208320617676,164.134552001953,298.974914550781,16.9120063781738,90.5232772827148,131.139541625977
"id_106",-116.62949,49.1192,184,32,30105741,552.690124511719,49.1208343505859,143.119415283203,292.053955078125,13.6907720565796,78.4050903320312,135.073623657227
"id_107",-117.61685,49.03336,210,33,30249982,609.942749023438,49.0374984741211,141.699630737305,291.85888671875,13.967794418335,77.8337097167969,130.247604370117
"id_108",-117.61553,49.03204,152,34,30264419,463.195343017578,49.029167175293,136.413619995117,287.932373046875,12.5346879959106,74.4741516113281,130.073394775391
"id_119",-116.58114,49.08214,170,35,30177927,533,49.0791664123535,142.908752441406,290.393157958984,13.2504215240479,78.07958984375,134.232955932617
"id_126",-115.85341,50.28064,200,36,28099230,844.822143554688,50.279167175293,195.231491088867,306.251708984375,28.1859436035156,111.708717346191,151.98681640625
"id_127",-115.85341,50.28064,222,37,28099230,844.822143554688,50.279167175293,195.231491088867,306.251708984375,28.1859436035156,111.708717346191,151.98681640625
"id_133",-114.90642,49.66705,232,38,29153172,1169.92456054688,49.6708335876465,215.825622558594,322.980407714844,33.3923721313477,124.609001159668,142.479995727539
"id_137",-118.33886,49.01814,84,39,30278768,813.629699707031,49.0208320617676,156.430603027344,297.072418212891,17.8489017486572,87.1397552490234,123.564002990723
"id_138",-119.56755,49.43707,217,40,29556820,487.441223144531,49.4375,125.990859985352,286.427825927734,11.5515966415405,68.7712249755859,129.878005981445
"id_139",-119.56121,49.44906,81,41,29542385,679.515014648438,49.4458351135254,143.49333190918,296.237945556641,14.3983535766602,78.9458465576172,130.268997192383
"id_140",-119.56121,49.44906,217,42,29542385,679.515014648438,49.4458351135254,143.49333190918,296.237945556641,14.3983535766602,78.9458465576172,130.268997192383
"id_142",-119.6223,49.29944,136,43,29802226,636.584838867188,49.2958335876465,133.77278137207,290.464782714844,13.2750377655029,73.5239105224609,123.755401611328
"id_144",-119.6163,49.28337,218,44,29816663,692.140319824219,49.2874984741211,137.354354858398,292.607055664062,13.844762802124,75.5995559692383,123.472801208496
"id_145",-118.34883,49.01531,198,45,30293203,569.335388183594,49.0125007629395,152.170043945312,292.613739013672,16.2639217376709,84.2169799804688,123.211402893066
"id_147",-121.861855296331,50.6268531757595,160,46,27492197,316.632385253906,50.6291656494141,133.551116943359,281.971435546875,13.5345010757446,73.5428085327148,136.115600585938
