"id","lat","long","nWinterFlights","LDH","lastFall","firstSpring","nMaxEmerging","nMaxSpring","LDE","elevation","winter.duration","spring.diff","fall.diff"
"id_1","48.4845837565324",-123.549922035572,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"id_2","48.4845837565324",-123.549922035572,"5",NA,NA,2014-03-24,NA,"31",2014-03-31,NA,NA,-7,NA
"id_3","54.3046001046064",-130.338718500933,"70",2015-09-10,2015-12-07,2016-04-07,"815","577",2016-04-26,"15",229,-19,-88
"id_4","49.3538270721341",-124.508776529327,"2767",NA,NA,2016-03-10,NA,"3809",2016-03-08,"19",NA,2,NA
"id_5","49.2995513454183",-123.134093726229,"109",2015-09-21,2015-12-29,NA,"191",NA,NA,"23",NA,NA,-99
"id_6","55.2158081371048",-129.134397459837,"0",NA,NA,2016-04-21,NA,"37",2016-03-29,"45",NA,23,NA
"id_7","55.207733785112",-129.102313722581,"53",2015-09-12,2015-12-13,2016-03-25,"2985","95",2016-03-22,"55",192,3,-92
"id_8","55.207733785112",-129.102313722581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_9","54.4112594821269",-128.522907881762,"3",2015-09-03,2015-11-03,2016-04-26,"56","65",2016-04-08,"72",218,18,-61
"id_10","48.5125168722294",-123.381051183288,"66",2013-08-30,2013-11-12,NA,"172",NA,NA,"98",NA,NA,-74
"id_11","48.3450712024508",-123.548567989067,"146",NA,NA,2013-03-31,NA,"422",2013-05-03,"110",NA,-33,NA
"id_12","57.9005342586088",-131.166876344609,"0",2015-09-05,2015-10-30,2016-03-20,"34","1",NA,"200",NA,NA,-55
"id_13","49.2918175427408",-124.592771516858,"14",NA,NA,2013-03-07,NA,"110",2013-03-08,"214",NA,-1,NA
"id_14","49.7772683170609",-119.734094830591,"5",NA,NA,2013-03-19,NA,"16",2013-03-14,"350",NA,5,NA
"id_15","49.7772683170609",-119.734094830591,"0",NA,2013-10-23,2014-04-20,"4","109",2014-04-30,NA,NA,-10,NA
"id_16","49.0951536503541",-119.517884814548,"282",2011-12-16,2011-12-28,2012-04-20,"12","662",2012-05-06,"359",142,-16,-12
"id_17","49.0951536503541",-119.517884814548,"0",2013-10-12,2013-10-28,NA,"278",NA,NA,NA,NA,NA,-16
"id_18","49.0951536503541",-119.517884814548,"69",2012-09-28,2012-10-26,2013-03-12,"394","61",2013-03-15,NA,168,-3,-28
"id_19","49.2998361529767",-119.544494526647,"0",NA,NA,2013-04-01,NA,"563",2013-03-31,"393",NA,1,NA
"id_20","49.2998361529767",-119.544494526647,"68",2013-10-05,2013-12-26,2014-03-11,"74","491",2014-04-06,NA,183,-26,-82
"id_21","51.5236993528733",-122.291170403244,"4",2015-09-29,2015-12-24,2016-03-09,"499","313",2016-04-19,"394",203,-41,-86
"id_22","50.4164359592922",-126.91709821076,NA,NA,NA,NA,NA,NA,NA,"473",NA,NA,NA
"id_23","59.4332629391505",-126.104037704194,"0",2015-09-17,2015-10-04,2016-05-15,"15","49",2016-05-11,"480",237,4,-17
"id_24","49.181676484794",-119.59175832679,"0",NA,NA,2013-03-13,NA,"24",2013-03-14,"493",NA,-1,NA
"id_25","50.0042986121525",-117.380488053895,"4",NA,NA,2014-04-05,NA,"3",NA,"550",NA,NA,NA
"id_26","51.5038805817945",-122.300036321496,"9",2015-09-29,2015-12-14,2016-04-24,"850","343",2016-04-19,"560",203,5,-76
"id_27","49.259443308855",-116.642504724493,"14",NA,2013-12-17,NA,"4",NA,NA,"580",NA,NA,NA
"id_28","59.5674182967362",-133.704238148247,"0",2015-09-13,2015-10-06,2016-05-02,"88","17",2016-05-15,"680",245,-13,-23
"id_29","59.4061315133673",-133.581154404776,"0",2015-08-26,2015-09-23,2016-05-15,"417","16",2016-05-11,"700",259,4,-28
"id_30","53.8794474448416",-124.591573306808,"0",2015-09-09,2015-10-17,2016-04-23,"38","482",2016-04-01,"700",205,22,-38
"id_31","58.4335786576019",-130.012987326343,"1",2015-09-29,2015-12-13,NA,"861",NA,NA,"800",NA,NA,-75
"id_32","56.2829213278346",-121.195582284907,"4",2015-10-06,2015-12-01,NA,"16",NA,NA,"800",NA,NA,-56
"id_33","59.0092615211189",-125.773117229802,"0",NA,NA,2016-05-15,NA,"1081",2016-05-09,"822",NA,6,NA
"id_34","49.949273106936",-115.653216970913,NA,NA,NA,NA,NA,NA,NA,"891",NA,NA,NA
"id_35","51.747104104179",-124.721361549739,"3",2015-09-29,2015-10-28,2016-03-23,"157","24",2016-04-25,"916",209,-33,-29
"id_36","53.5796477339301",-124.79028892554,"0",NA,2014-10-18,2015-04-19,"8","2",NA,"1100",NA,NA,NA
"id_37","50.1577612339772",-115.471415151807,"0",NA,NA,2013-05-04,NA,"551",2013-05-02,"1145",NA,2,NA
"id_38","49.1009349157397",-117.226331855247,"3",NA,NA,2016-03-04,NA,"10",NA,"1275",NA,NA,NA
"id_39","49.1009349157397",-117.226331855247,"85",NA,2015-12-26,2016-04-08,"3","173",2016-04-06,NA,NA,2,NA
"id_40","49.1009349157397",-117.226331855247,"23",NA,NA,2016-03-30,NA,"20",2016-04-07,NA,NA,-8,NA
"id_41","49.1009349157397",-117.226331855247,"7",NA,NA,2016-04-06,NA,"4",NA,NA,NA,NA,NA
"id_42","49.01159",-119.49267,"216",2012-10-05,2012-12-07,2013-04-18,"97","523",2013-03-31,NA,177,18,-63
"id_43","50.7575",-120.65658,"20",NA,2011-12-04,NA,"5",NA,NA,NA,NA,NA,NA
"id_44","50.82596",-121.87617,"4",NA,2014-11-04,2015-04-15,"8","14",2015-04-18,NA,NA,-3,NA
"id_45","48.44611",-123.48572,"21",NA,2012-12-24,NA,"5",NA,NA,NA,NA,NA,NA
"id_46","48.49602",-123.44506,"3",NA,2012-10-15,NA,"10",NA,NA,NA,NA,NA,NA
"id_47","48.49602",-123.44506,"48",NA,NA,2014-03-03,NA,"5",NA,NA,NA,NA,NA
"id_48","48.46527",-123.54338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_49","48.46577",-123.54322,"3",NA,2013-11-07,NA,"1",NA,NA,NA,NA,NA,NA
"id_50","48.46577",-123.54322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_51","48.46577",-123.54322,"0",2011-10-21,2011-10-24,NA,"161",NA,NA,NA,NA,NA,-3
"id_52","49.9108028206618",-126.649205890586,"169",2014-10-24,2014-11-18,2015-03-06,"11","128",2015-03-07,NA,134,-1,-25
"id_53","49.34389",-124.73585,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_54","49.34389",-124.73585,"4",2012-10-10,2012-12-11,NA,"117",NA,NA,NA,NA,NA,-62
"id_55","49.3011087973304",-123.140576580936,"9",2014-10-18,2014-11-10,NA,"85",NA,NA,NA,NA,NA,-23
"id_56","54.3046",-130.33872,"0",2014-09-22,2014-10-25,2015-04-23,"439","5",NA,NA,NA,NA,-33
"id_57","54.29618",-129.3941,"4",2014-10-04,2014-11-14,2015-04-18,"13","189",2015-04-20,NA,198,-2,-41
"id_58","50.42153",-126.8991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_59","50.34805",-126.8576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_61","49.88447",-126.61232,"0",NA,NA,2013-05-09,NA,"42",2013-05-03,NA,NA,6,NA
"id_62","54.07445",-131.79941,"985",2014-09-26,2014-12-30,2015-03-11,"915","26",2015-03-07,NA,162,4,-95
"id_63","54.50113",-128.58145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_64","55.06196",-129.47214,"0",2014-09-28,2014-10-17,2015-04-19,"1050","1144",2015-04-07,NA,191,12,-19
"id_65","48.81767",-124.13,"2",NA,NA,2012-04-22,NA,"68",2012-05-13,NA,NA,-21,NA
"id_66","49.29138",-124.66221,"19",NA,2012-12-29,NA,"7",NA,NA,NA,NA,NA,NA
"id_67","49.32397",-124.76492,"1",NA,2011-11-29,NA,"1",NA,NA,NA,NA,NA,NA
"id_68","49.73073",-117.15161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_69","50.00388",-117.20313,"0",2012-09-28,2012-10-08,NA,"25",NA,NA,NA,NA,NA,-10
"id_70","50.01006",-117.1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_71","49.0617",-117.04029,"0",NA,NA,2010-05-12,NA,"72",2010-04-19,NA,NA,23,NA
"id_72","50.24732",-117.12625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_73","54.098",-121.36032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_74","49.07792",-117.65042,"2",NA,2011-11-25,NA,"2",NA,NA,NA,NA,NA,NA
"id_75","49.41898",-116.72759,"0",NA,2012-09-27,NA,"1",NA,NA,NA,NA,NA,NA
"id_76","50.18683",-116.93802,"105",2008-10-28,2008-11-18,2009-05-01,"142","474",2009-04-14,NA,168,17,-21
"id_77","49.29425",-117.60945,"34",2014-11-26,2014-12-17,NA,"13",NA,NA,NA,NA,NA,-21
"id_78","49.28375",-116.65735,"59",2012-10-12,2012-12-05,NA,"805",NA,NA,NA,NA,NA,-54
"id_79","49.06913",-117.28391,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_80","49.30214",-116.76106,"3",NA,NA,2013-04-01,"3","1076",2013-03-31,NA,NA,1,NA
"id_81","49.49352",-117.4496,"2122",NA,NA,2014-03-03,NA,"76",2014-03-03,NA,NA,0,NA
"id_82","49.49352",-117.4496,"1788",2009-12-16,2009-12-30,2010-03-05,"98","306",2010-03-05,NA,79,0,-14
"id_83","49.49352",-117.4496,"5427",2010-12-10,2010-12-30,2011-03-01,"1444","22",2011-03-01,NA,81,0,-20
"id_84","49.49352",-117.4496,"3604",2011-11-21,2011-12-30,2012-05-07,"344","307",2012-03-09,NA,109,59,-39
"id_85","49.0239",-117.35441,"1612",NA,NA,2014-03-25,NA,"755",2014-03-12,NA,NA,13,NA
"id_86","49.0239",-117.35441,"3312",2012-11-04,2012-12-30,2013-03-25,"448","710",2013-03-30,NA,146,-5,-56
"id_87","49.0239",-117.35441,"1699",2011-11-08,2011-12-11,NA,"258",NA,NA,NA,NA,NA,-33
"id_88","49.0239",-117.35441,"2330",2015-11-12,2015-12-30,2016-03-31,"96","602",2016-03-30,NA,139,1,-48
"id_89","49.77835",-116.90425,"607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_90","49.77953",-116.90941,"0",NA,NA,2012-04-19,NA,"75",2012-04-19,NA,NA,0,NA
"id_91","55.2746462897184",-127.561826704132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_92","55.2371993791575",-127.672230973548,"0",NA,2014-10-11,2015-04-09,"8","61",2015-04-22,NA,NA,-13,NA
"id_93","50.68883",-117.65914,"0",NA,NA,2010-03-03,NA,"1",NA,NA,NA,NA,NA
"id_94","50.3984",-117.12203,"0",NA,2012-10-09,NA,"1",NA,NA,NA,NA,NA,NA
"id_95","49.72749",-116.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_96","50.51044",-117.27609,"0",NA,NA,2012-03-24,NA,"253",2012-04-05,NA,NA,-12,NA
"id_97","50.17473",-116.95981,"127",2011-12-06,2011-12-12,NA,"52",NA,NA,NA,NA,NA,-6
"id_98","50.4118",-117.11897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_99","50.25801",-116.96996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_100","50.17836",-116.95863,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_101","50.13465",-116.955,"11",NA,2012-12-22,2013-03-18,"1","4",NA,NA,NA,NA,NA
"id_102","50.03677",-117.20715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_103","49.77103",-117.47659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_104","49.1009349157397",-117.226331855247,"199",2015-11-11,2015-12-24,NA,"161",NA,NA,NA,NA,NA,-43
"id_105","49.28325",-116.66144,"59",2012-10-12,2012-12-05,NA,"805",NA,NA,NA,NA,NA,-54
"id_106","49.1192",-116.62949,"140",2012-10-30,2012-11-14,2013-05-04,"85","551",2013-05-02,NA,184,2,-15
"id_107","49.03336",-117.61685,"161",2012-10-12,2012-10-29,2013-05-15,"1762","1053",2013-05-10,NA,210,5,-17
"id_108","49.03204",-117.61553,"1005",2009-12-14,2009-12-28,2010-03-15,"677","1240",2010-05-15,NA,152,-61,-14
"id_109","49.03204",-117.61553,"573",2011-10-19,2011-12-30,NA,"398",NA,NA,NA,NA,NA,-72
"id_110","49.20317",-116.59158,"0",NA,NA,2014-05-01,NA,"3725",2014-04-30,NA,NA,1,NA
"id_111","49.13615",-116.53193,"0",2011-10-15,2011-10-16,NA,"14",NA,NA,NA,NA,NA,-1
"id_112","49.13615",-116.53193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_113","49.30385",-116.66476,"169",NA,2014-12-28,2015-03-27,"3","2414",2015-03-27,NA,NA,0,NA
"id_114","49.30385",-116.66476,"37",NA,NA,2016-04-07,NA,"6",NA,NA,NA,NA,NA
"id_115","49.30385",-116.66476,"9",NA,2015-12-21,NA,"5",NA,NA,NA,NA,NA,NA
"id_116","49.15672",-116.64033,"0",NA,NA,2013-03-15,NA,"55",2013-03-28,NA,NA,-13,NA
"id_117","49.10591",-116.43106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_118","49.27569",-116.65206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_119","49.08214",-116.58114,"305",2012-11-13,2012-11-18,2013-05-04,"179","551",2013-05-02,NA,170,2,-5
"id_120","49.61649",-116.19829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_121","49.503",-115.35931,"0",NA,2012-09-08,NA,"1",NA,NA,NA,NA,NA,NA
"id_122","49.34936",-117.88828,"6",2012-10-08,2012-11-07,NA,"698",NA,NA,NA,NA,NA,-30
"id_123","49.36373",-117.92842,"340",2011-10-01,2011-12-30,NA,"183",NA,NA,NA,NA,NA,-90
"id_124","49.35473",-117.89967,"48",NA,2009-11-29,2010-04-07,"3","93",2010-03-24,NA,NA,14,NA
"id_125","49.35473",-117.89967,"30",NA,2014-12-22,NA,"7",NA,NA,NA,NA,NA,NA
"id_126","50.28064",-115.85341,"7",2012-09-14,2012-11-05,2013-03-01,"575","513",2013-04-02,NA,200,-32,-52
"id_127","50.28064",-115.85341,"27",2013-10-05,2013-12-27,2014-05-15,"565","2083",2014-05-15,NA,222,0,-83
"id_128","50.28064",-115.85341,"5",NA,NA,2015-03-07,NA,"3",NA,NA,NA,NA,NA
"id_129","50.28064",-115.85341,"2",NA,2015-12-13,NA,"2",NA,NA,NA,NA,NA,NA
"id_130","49.6362",-114.69651,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_131","50.13494",-115.57681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_132","50.509",-115.9498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_133","49.66705",-114.90642,"0",2012-09-18,2012-09-25,2013-05-11,"165","244",2013-05-08,NA,232,3,-7
"id_134","49.66705",-114.90642,"0",2013-09-25,2013-10-06,NA,"266",NA,NA,NA,NA,NA,-11
"id_135","50.6213968738924",-116.072117873645,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_136","49.3661816223468",-120.024954533869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_137","49.01814",-118.33886,"43",2010-12-11,2010-12-13,2011-03-04,"14","15",2011-03-05,NA,84,-1,-2
"id_138","49.43707",-119.56755,"65",2012-09-20,2012-11-16,2013-04-25,"139","776",2013-04-25,NA,217,0,-57
"id_139","49.44906",-119.56121,"283",2011-12-18,2011-12-30,2012-03-15,"63","35",2012-03-08,NA,81,7,-12
"id_140","49.44906",-119.56121,"82",2012-09-19,2012-12-03,2013-04-25,"237","1016",2013-04-24,NA,217,1,-75
"id_141","49.26529",-119.51172,"162",2014-10-18,NA,NA,"90",NA,NA,NA,NA,NA,NA
"id_142","49.29944",-119.6223,"215",2011-12-07,2011-12-29,2012-04-30,"23","133",2012-04-21,NA,136,9,-22
"id_143","49.29944",-119.6223,"0",NA,2012-10-21,NA,"4",NA,NA,NA,NA,NA,NA
"id_144","49.28337",-119.6163,"177",2011-09-19,2011-12-03,2012-04-10,"237","1016",2012-04-24,NA,218,-14,-75
"id_145","49.01531",-118.34883,"734",2011-10-30,2011-12-17,2012-04-19,"714","342",2012-05-15,NA,198,-26,-48
"id_146","50.5203329163404",-121.723830623291,"5",NA,2014-11-26,2015-04-09,"4","13",2015-04-18,NA,NA,-9,NA
"id_147","50.6268531757595",-121.861855296331,"475",2014-10-18,2014-12-22,2015-03-13,"193","1404",2015-03-27,NA,160,-14,-65
"id_148","53.6855",-124.84071,"0",NA,2014-10-22,NA,"7",NA,NA,NA,NA,NA,NA
"id_149","48.7427",-123.9499,"2",NA,2011-11-21,NA,"2",NA,NA,NA,NA,NA,NA
"id_150","49.7604738955035",-124.568430808021,"19",2015-10-08,2015-12-11,2016-03-05,"66","4",NA,NA,NA,NA,-64
"id_152","50.5284426800641",-116.936313512929,"0",NA,NA,2013-05-15,NA,"7",NA,"1525",NA,NA,NA
"id_154","49.7614516833099",-123.764807819392,"10",NA,NA,2015-03-12,NA,"276",2015-03-30,NA,NA,-18,NA
